Month,Year,Fractional Date,Excel Date,CPI,SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,CAPE (Shiller),CAPE    (ERN),SPX-TR,10Y BM,30Y BM,Cash,World EX US Equities,Custom Series1 (NEW),Custom Series2 (NEW),Commodities,Gold,Fama-French Small Stocks,Fama-French Value Stocks,Portfolio,Cumulative Backward Return,C1,Sum of Ct,Sum of CtPt,Equity Drawdown (Real!)
11,1871,"1,871.83",N/A,12.369,109.13,109.22,114.01,105.42,109.13,12.37,12.37,22.59,22.59,11.5951,11.5898,1.53%,0.59%,0.73%,0.53%,1.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,"85,655.05",9.81,"1,548.00",0.00,-5.611%
12,1871,"1,871.92",N/A,12.654,112.25,110.10,115.34,105.98,112.25,12.65,12.65,22.59,22.59,11.6069,11.6026,0.54%,-1.47%,-1.12%,-1.74%,0.54%,0.00%,0.00%,-2.26%,-2.26%,0.00%,0.00%,0.13%,"84,522.21",10.32,"1,640.17",0.00,-5.102%
1,1872,"1,872.00",N/A,12.654,115.42,107.31,108.90,106.67,115.42,12.65,12.65,23.19,23.19,11.9027,11.8769,2.82%,-2.53%,-5.58%,0.65%,2.82%,0.00%,0.00%,2.66%,2.66%,0.00%,0.00%,1.75%,"84,410.17",10.57,"1,673.71",0.00,-2.425%
2,1872,"1,872.08",N/A,12.654,116.54,107.23,108.09,107.36,116.54,12.65,12.65,23.19,23.19,11.9771,11.9606,0.97%,-0.08%,-0.74%,0.65%,0.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.75%,"82,961.38",10.76,"1,723.40",0.00,-1.483%
3,1872,"1,872.17",N/A,12.845,120.62,108.12,109.28,108.06,120.62,12.84,12.84,23.19,23.19,12.1664,12.1578,1.97%,-0.66%,-0.40%,-0.84%,1.97%,0.00%,0.00%,-1.48%,-1.48%,0.00%,0.00%,1.44%,"82,341.47",10.99,"1,762.24",0.00,0.000%
4,1872,"1,872.25",N/A,13.130,124.73,110.78,114.07,108.76,124.73,13.13,13.13,23.19,23.19,12.2671,12.2532,1.16%,0.23%,2.11%,-1.54%,1.16%,0.00%,0.00%,-2.17%,-2.17%,0.00%,0.00%,0.97%,"81,171.17",11.31,"1,830.35",0.00,0.000%
5,1872,"1,872.33",N/A,13.130,125.26,113.52,119.09,109.47,125.26,13.13,13.13,23.19,23.19,12.2902,12.2659,0.43%,2.47%,4.40%,0.65%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,"80,394.12",11.79,"1,915.04",0.00,0.000%
6,1872,"1,872.42",N/A,13.035,124.59,115.28,122.12,110.18,124.59,13.03,13.03,23.19,23.19,12.2770,12.2594,0.19%,2.29%,3.30%,1.39%,0.19%,0.00%,0.00%,0.73%,0.73%,0.00%,0.00%,0.61%,"79,731.20",12.22,"1,990.94",0.00,0.000%
7,1872,"1,872.50",N/A,12.845,124.23,113.22,117.01,110.90,124.23,12.84,12.84,23.19,23.19,12.3739,12.3667,1.18%,-0.33%,-2.77%,2.14%,1.18%,0.00%,0.00%,1.48%,1.48%,0.00%,0.00%,0.88%,"79,248.19",11.80,"1,922.19",0.00,0.000%
8,1872,"1,872.58",N/A,12.940,123.32,113.58,117.06,111.62,123.32,12.94,12.94,23.19,23.19,12.1247,12.1311,-1.46%,-0.43%,-0.69%,-0.09%,-1.46%,0.00%,0.00%,-0.74%,-0.74%,0.00%,0.00%,-1.26%,"78,559.42",11.81,"1,930.66",0.00,-1.461%
9,1872,"1,872.67",N/A,13.035,122.12,112.56,114.26,112.35,122.12,13.03,13.03,23.19,23.19,11.8512,11.8554,-1.69%,-1.62%,-3.11%,-0.08%,-1.69%,0.00%,0.00%,-0.73%,-0.73%,0.00%,0.00%,-1.68%,"79,560.36",12.85,"2,062.50",0.00,-3.130%
10,1872,"1,872.75",N/A,12.749,123.07,114.41,117.39,113.08,123.07,12.75,12.75,23.19,23.19,12.1415,12.1443,3.03%,3.92%,5.04%,2.90%,3.03%,0.00%,0.00%,2.24%,2.24%,0.00%,0.00%,3.20%,"80,922.19",12.96,"2,033.29",0.00,-0.196%
11,1872,"1,872.83",N/A,13.130,123.38,115.39,118.73,113.82,123.38,13.13,13.13,23.19,23.19,11.7401,11.7576,-2.65%,-2.07%,-1.79%,-2.27%,-2.65%,0.00%,0.00%,-2.90%,-2.90%,0.00%,0.00%,-2.54%,"78,410.74",12.75,"2,052.19",0.00,-2.839%
12,1872,"1,872.92",N/A,12.940,126.80,116.75,120.87,114.56,126.80,12.94,12.94,23.19,23.19,12.1753,12.1795,4.28%,2.67%,3.30%,2.13%,4.28%,0.00%,0.00%,1.47%,1.47%,0.00%,0.00%,3.95%,"80,451.50",12.54,"1,956.38",0.00,0.000%
1,1873,"1,873.00",N/A,12.940,128.35,115.41,117.35,115.35,128.35,12.94,12.94,22.74,22.74,12.2485,12.2628,1.22%,-1.15%,-2.91%,0.70%,1.22%,0.00%,0.00%,-1.94%,-1.94%,0.00%,0.00%,0.74%,"77,390.84",12.22,"1,969.56",0.00,0.000%
2,1873,"1,873.08",N/A,13.225,130.23,116.21,118.25,116.16,130.23,13.23,13.23,22.74,22.74,12.0830,12.0987,-0.73%,-1.48%,-1.40%,-1.48%,-0.73%,0.00%,0.00%,-2.16%,-2.16%,0.00%,0.00%,-0.88%,"76,820.58",12.26,"1,980.02",0.00,-0.726%
3,1873,"1,873.17",N/A,13.225,129.65,117.77,120.72,116.96,129.65,13.23,13.23,22.74,22.74,11.9581,11.9642,-0.44%,1.35%,2.09%,0.70%,-0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.09%,"77,502.91",13.07,"2,079.06",0.00,-1.167%
4,1873,"1,873.25",N/A,13.225,128.47,119.22,122.95,117.78,128.47,13.23,13.23,22.74,22.74,11.7732,11.7806,-0.91%,1.23%,1.84%,0.70%,-0.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.49%,"77,572.84",12.97,"2,050.60",0.00,-2.066%
5,1873,"1,873.33",N/A,12.940,129.50,121.49,126.92,118.60,129.50,12.94,12.94,22.74,22.74,12.0502,12.0593,3.03%,4.16%,5.51%,2.92%,3.03%,0.00%,0.00%,2.21%,2.21%,0.00%,0.00%,3.25%,"77,952.76",12.73,"1,991.16",0.00,0.000%
6,1873,"1,873.42",N/A,12.559,128.64,123.46,130.27,119.42,128.64,12.56,12.56,22.74,22.74,12.2386,12.2586,2.34%,4.70%,5.75%,3.75%,2.34%,0.00%,0.00%,3.03%,3.03%,0.00%,0.00%,2.81%,"75,498.78",11.99,"1,924.34",0.00,0.000%
7,1873,"1,873.50",N/A,12.559,129.07,120.93,124.05,120.25,129.07,12.56,12.56,22.74,22.74,12.1707,12.2041,0.33%,-2.05%,-4.77%,0.70%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.15%,"73,434.92",10.93,"1,793.51",0.00,0.000%
8,1873,"1,873.58",N/A,12.559,129.82,121.24,123.90,121.09,129.82,12.56,12.56,22.74,22.74,12.1335,12.1665,0.58%,0.25%,-0.12%,0.70%,0.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,"73,544.58",11.04,"1,798.14",0.00,0.000%
9,1873,"1,873.67",N/A,12.559,120.51,119.01,118.52,121.93,120.51,12.56,12.56,22.74,22.74,11.1590,11.1869,-7.17%,-1.84%,-4.34%,0.70%,-7.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-6.11%,"73,169.60",11.24,"1,829.59",0.00,-7.167%
10,1873,"1,873.75",N/A,12.274,110.84,116.77,113.27,122.78,110.84,12.27,12.27,22.74,22.74,10.3968,10.4202,-5.89%,0.40%,-2.21%,3.04%,-5.89%,0.00%,0.00%,2.33%,2.33%,0.00%,0.00%,-4.63%,"77,927.21",11.65,"1,771.77",0.00,-12.632%
11,1873,"1,873.83",N/A,11.893,107.56,117.01,113.03,123.64,107.56,11.89,11.89,22.74,22.74,10.3083,10.3381,0.14%,3.41%,2.98%,3.92%,0.14%,0.00%,0.00%,3.20%,3.20%,0.00%,0.00%,0.79%,"81,713.11",12.17,"1,754.15",0.00,-12.506%
12,1873,"1,873.92",N/A,12.179,118.48,123.28,124.55,124.50,118.48,12.18,12.18,22.74,22.74,10.9744,11.0194,7.57%,2.89%,7.61%,-1.66%,7.57%,0.00%,0.00%,-2.34%,-2.34%,0.00%,0.00%,6.63%,"81,069.92",12.68,"1,830.12",0.00,-5.885%
1,1874,"1,874.00",N/A,12.369,125.34,122.14,121.44,125.21,125.34,12.37,12.37,23.09,23.09,11.3380,11.3760,4.16%,-2.45%,-4.00%,-0.98%,4.16%,0.00%,0.00%,-0.02%,-0.02%,0.00%,0.00%,2.84%,"76,030.55",12.23,"1,870.09",0.00,-1.967%
2,1874,"1,874.08",N/A,12.369,129.55,125.03,126.62,125.92,129.55,12.37,12.37,23.09,23.09,11.6334,11.6649,3.36%,2.36%,4.27%,0.57%,3.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.16%,"73,933.72",12.24,"1,913.14",0.00,0.000%
3,1874,"1,874.17",N/A,12.369,128.43,126.34,128.68,126.64,128.43,12.37,12.37,23.09,23.09,11.4482,11.4767,-0.87%,1.05%,1.62%,0.57%,-0.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.49%,"71,669.85",11.79,"1,890.00",0.00,-0.868%
4,1874,"1,874.25",N/A,12.179,125.28,127.70,130.82,127.37,125.28,12.18,12.18,23.09,23.09,11.2591,11.2843,-0.93%,2.65%,3.26%,2.14%,-0.93%,0.00%,0.00%,1.56%,1.56%,0.00%,0.00%,-0.22%,"72,021.40",11.72,"1,858.29",0.00,-1.788%
5,1874,"1,874.33",N/A,12.083,122.89,128.28,131.36,128.10,122.89,12.08,12.08,23.09,23.09,11.0370,11.0641,-1.13%,1.24%,1.20%,1.36%,-1.13%,0.00%,0.00%,0.79%,0.79%,0.00%,0.00%,-0.66%,"72,177.28",11.80,"1,856.28",0.00,-2.898%
6,1874,"1,874.42",N/A,11.798,122.89,129.20,132.59,128.83,122.89,11.80,11.80,23.09,23.09,11.2055,11.2332,2.42%,3.15%,3.38%,3.00%,2.42%,0.00%,0.00%,2.42%,2.42%,0.00%,0.00%,2.56%,"72,656.83",12.00,"1,864.76",0.00,-0.551%
7,1874,"1,874.50",N/A,11.893,123.57,125.28,123.79,129.57,123.57,11.89,11.89,23.09,23.09,11.0750,11.1077,-0.25%,-3.81%,-7.38%,-0.23%,-0.25%,0.00%,0.00%,-0.80%,-0.80%,0.00%,0.00%,-0.97%,"70,843.24",12.12,"1,920.90",0.00,-0.799%
8,1874,"1,874.58",N/A,11.798,124.60,125.93,124.47,130.31,124.60,11.80,11.80,23.09,23.09,11.1587,11.1871,1.64%,1.33%,1.36%,1.38%,1.64%,0.00%,0.00%,0.81%,0.81%,0.00%,0.00%,1.58%,"71,534.23",12.66,"1,975.39",0.00,0.000%
9,1874,"1,874.67",N/A,11.798,127.37,126.04,124.07,131.05,127.37,11.80,11.80,23.09,23.09,11.3070,11.3366,2.23%,0.09%,-0.32%,0.57%,2.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.79%,"70,424.06",12.65,"1,992.87",0.00,0.000%
10,1874,"1,874.75",N/A,11.608,127.72,126.70,124.75,131.80,127.72,11.61,11.61,23.09,23.09,11.4248,11.4527,1.92%,2.17%,2.20%,2.22%,1.92%,0.00%,0.00%,1.64%,1.64%,0.00%,0.00%,1.97%,"69,182.76",12.42,"1,979.81",0.00,0.000%
